vehicle_category,avg_unit_price_inr,2022_units,2022_revenue_cr,2023_units,2023_revenue_cr,2024_units,2024_revenue_cr,absolute_growth_2022_2024_cr,absolute_growth_2023_2024_cr,revenue_growth_rate_2022_2024_%,revenue_growth_rate_2023_2024_%,cagr_2022_2024_%,yoy_growth_2023_2024_%
2-Wheelers,85000,631090,5364.27,856836,7283.11,292911,2489.74,-2874.52,-4793.36,-53.59,-65.81,-31.87,-65.81
4-Wheelers,1500000,38170,5725.5,80121,12018.15,23794,3569.1,-2156.4,-8449.05,-37.66,-70.3,-21.05,-70.3
